Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
24,1,24,171.142,116.595,0,74.9,100.061,12.815,NA,0.341,NA,90,32.005
25,1,25,169.096,113.867,0,69.9,103.47,11.815,NA,3.409,NA,-126.87,143.13
26,1,26,166.369,116.254,0,70.1,107.094,15.428,NA,3.624,NA,138.814,-94.316
27,1,27,164.324,110.799,0,72.4,112.92,14.057,NA,5.826,NA,-110.556,110.63
28,1,28,163.301,108.072,0,65.4,115.832,14.241,NA,2.913,NA,-110.556,0
29,1,29,167.051,104.663,0,72.4,120.901,10.25,NA,5.068,NA,-42.274,68.282
30,1,30,166.369,100.571,0,65.4,125.048,11.908,NA,4.147,NA,-99.462,-57.189
31,1,31,164.324,98.867,0,60.8,127.711,14.484,NA,2.663,NA,-140.194,-40.732
32,1,32,163.301,101.594,0,64.3,130.624,14.472,NA,2.913,NA,110.556,-109.25
33,1,33,164.665,109.094,0,64.4,138.247,13.16,NA,7.623,NA,79.695,-30.861
34,1,34,165.005,116.595,0,79.5,145.755,16.649,NA,7.508,NA,87.397,7.702
35,1,35,161.255,118.64,0,60.5,150.027,20.821,NA,4.272,NA,151.39,63.992
36,1,36,158.869,120.686,0,86.3,153.17,23.964,NA,3.143,NA,139.399,-11.991
37,1,37,160.233,113.186,0,73.6,160.793,18.763,NA,7.623,NA,-79.695,140.906
38,1,38,161.937,107.39,0,77.1,166.834,15.477,NA,6.041,NA,-73.61,6.085
39,1,39,164.324,102.617,0,72.4,172.17,13.239,NA,5.336,NA,-63.435,10.176
40,1,40,164.665,99.89,0,73.4,174.919,13.743,NA,2.749,NA,-82.875,-19.44
41,1,41,162.96,99.549,0,66.7,176.657,15.447,NA,1.738,NA,-168.69,-85.815
42,1,42,160.914,96.821,0,69.9,180.066,18.451,NA,3.409,NA,-126.87,41.82
43,1,43,160.573,102.276,0,70.3,185.532,16.985,NA,5.465,NA,93.576,-139.554
44,1,44,161.255,106.026,0,68.9,189.343,16.038,NA,3.812,NA,79.695,-13.881
45,1,45,161.937,110.458,0,75.9,193.827,16.171,NA,4.484,NA,81.254,1.559
46,1,46,160.914,116.254,0,64.4,199.713,19.667,NA,5.885,NA,100.008,18.754
47,1,47,159.21,120.345,0,76.9,204.145,23.484,NA,4.432,NA,112.62,12.612
48,1,48,159.551,114.89,0,64,209.61,20.135,NA,5.465,NA,-86.424,160.956
49,1,49,160.233,109.094,0,84.9,215.446,17.454,NA,5.836,NA,-83.29,3.134
50,1,50,161.596,107.731,0,109.2,217.374,15.863,NA,1.929,NA,-45,38.29
51,1,51,162.96,109.094,0,74.8,219.303,14.802,NA,1.929,NA,45,90
52,1,52,163.301,111.14,0,65.1,221.376,15.132,NA,2.074,NA,80.538,35.538
53,1,53,162.278,107.049,0,65.1,225.593,15.097,NA,4.217,NA,-104.036,175.426
54,1,54,161.255,106.026,0,62.9,227.04,16.038,NA,1.446,NA,-135,-30.964
55,1,55,159.21,102.617,0,60.8,231.016,18.273,NA,3.976,NA,-120.964,14.036
56,1,56,160.573,106.026,0,64.4,234.687,16.719,NA,3.672,NA,68.199,-170.838
57,1,57,161.596,111.481,0,65.4,240.237,16.84,NA,5.55,NA,79.38,11.182
58,1,58,162.619,115.572,0,64.4,244.454,17.875,NA,4.217,NA,75.964,-3.417
59,1,59,162.619,117.958,0,71.2,246.841,19.34,NA,2.386,NA,90,14.036
60,1,60,162.619,117.958,0,72.4,246.841,19.34,NA,0,NA,0,-90
61,1,61,162.619,118.64,0,65.6,247.522,19.791,NA,0.682,NA,90,90
62,1,62,162.96,116.936,0,65.6,249.261,18.422,NA,1.738,NA,-78.69,-168.69
63,1,63,162.96,116.254,0,60.7,249.943,18.001,NA,0.682,NA,-90,-11.31
64,1,64,161.596,114.208,0,71.4,252.401,18.014,NA,2.458,NA,-123.69,-33.69
65,1,65,161.596,107.049,0,67.4,259.56,15.775,NA,7.159,NA,-90,33.69
66,1,66,160.233,102.958,0,68,263.873,17.212,NA,4.312,NA,-108.435,-18.435
67,1,67,159.21,103.64,0,58.4,265.102,18.149,NA,1.229,NA,146.31,-105.255
68,1,68,158.187,103.64,0,61.9,266.125,19.167,NA,1.023,NA,180,33.69
69,1,69,159.21,107.731,0,69.9,270.342,18.226,NA,4.217,NA,75.964,-104.036
70,1,70,160.914,113.526,0,72.4,276.383,18.296,NA,6.041,NA,73.61,-2.353
71,1,71,158.869,111.481,0,72.4,279.275,19.406,NA,2.893,NA,-135,151.39
72,1,72,157.846,108.754,0,66.6,282.188,19.729,NA,2.913,NA,-110.556,24.444
73,1,73,157.505,105.003,0,64.2,285.954,19.776,NA,3.766,NA,-95.194,15.362
74,1,74,157.164,102.276,0,102.9,288.702,20.347,NA,2.749,NA,-97.125,-1.931
75,1,75,155.46,105.003,0,77.3,291.919,21.822,NA,3.216,NA,122.005,-140.87
76,1,76,155.119,109.094,0,68.9,296.024,22.475,NA,4.105,NA,94.764,-27.242
77,1,77,154.778,109.094,0,66.8,296.365,22.811,NA,0.341,NA,180,85.236
78,1,78,155.46,108.072,0,65.5,297.594,21.989,NA,1.229,NA,-56.31,123.69
79,1,79,155.119,109.094,0,68.9,298.672,22.475,NA,1.078,NA,108.435,164.745
80,1,80,153.073,105.685,0,66.6,302.648,24.208,NA,3.976,NA,-120.964,130.601
81,1,81,151.369,102.958,0,67.2,305.864,26.02,NA,3.216,NA,-122.005,-1.042
82,1,82,152.391,100.571,0,62,308.461,25.341,NA,2.596,NA,-66.801,55.204
83,1,83,151.028,99.208,0,69.1,310.389,26.959,NA,1.929,NA,-135,-68.199
84,1,84,147.618,98.185,0,58.1,313.948,30.512,NA,3.559,NA,-163.301,-28.301
85,1,85,146.596,101.253,0,62.9,317.183,30.954,NA,3.234,NA,108.435,-88.264
86,1,86,147.278,110.458,0,66.4,326.413,30.434,NA,9.23,NA,85.764,-22.671
87,1,87,144.55,114.549,0,69.9,331.33,33.998,NA,4.917,NA,123.69,37.926
88,1,88,145.573,114.208,0,71.2,332.408,32.921,NA,1.078,NA,-18.435,-142.125
89,1,89,148.3,111.14,0,72.5,336.513,29.552,NA,4.105,NA,-48.366,-29.932
90,1,90,153.755,106.708,0,68,343.541,23.563,NA,7.028,NA,-39.094,9.273
91,1,91,154.096,105.003,0,63.1,345.279,23.185,NA,1.738,NA,-78.69,-39.596
92,1,92,156.142,100.571,0,63.1,350.161,21.669,NA,4.881,NA,-65.225,13.465
93,1,93,153.073,101.253,0,61.1,353.304,24.549,NA,3.143,NA,167.471,-127.304
94,1,94,153.073,101.253,0,58.6,353.304,24.549,NA,0,NA,0,-167.471
95,1,95,152.732,100.912,0,58.4,353.786,24.943,NA,0.482,NA,-135,-135
96,1,96,157.505,101.935,0,62.1,358.667,20.065,NA,4.881,NA,12.095,147.095
97,1,97,158.528,101.935,0,59.4,359.69,19.058,NA,1.023,NA,0,-12.095
98,1,98,157.505,99.89,0,65.4,361.977,20.512,NA,2.287,NA,-116.565,-116.565
99,1,99,156.142,94.094,0,60.9,367.931,23.945,NA,5.954,NA,-103.241,13.325
100,1,100,154.778,91.026,0,60.9,371.289,26.67,NA,3.358,NA,-113.962,-10.722
101,1,101,155.46,88.639,0,58.7,373.77,27.48,NA,2.482,NA,-74.055,39.908
102,1,102,156.823,85.912,0,57.4,376.82,28.214,NA,3.049,NA,-63.435,10.62
103,1,103,154.778,89.321,0,55.2,380.796,27.623,NA,3.976,NA,120.964,-175.601
104,1,104,155.801,92.73,0,55.2,384.355,24.908,NA,3.559,NA,73.301,-47.663
105,1,105,160.573,105.685,0,65.5,398.161,16.709,NA,13.806,NA,69.775,-3.526
106,1,106,162.96,115.913,0,65.2,408.663,17.797,NA,10.502,NA,76.866,7.091
107,1,107,160.914,120.004,0,73.3,413.237,21.97,NA,4.574,NA,116.565,39.699
108,1,108,160.914,123.072,0,65.3,416.306,24.126,NA,3.068,NA,90,-26.565
109,1,109,160.914,125.459,0,59.4,418.692,25.93,NA,2.386,NA,90,0
110,1,110,160.233,123.754,0,77.1,420.528,25.09,NA,1.836,NA,-111.801,158.199
111,1,111,158.869,117.958,0,58,426.482,22.317,NA,5.954,NA,-103.241,8.561
112,1,112,155.46,110.799,0,66.7,434.411,22.49,NA,7.93,NA,-115.463,-12.223
113,1,113,153.755,109.435,0,58.1,436.594,23.877,NA,2.183,NA,-141.34,-25.877
114,1,114,156.482,103.64,0,59.4,443,20.866,NA,6.405,NA,-64.799,76.541
115,1,115,156.482,103.64,0,65.4,443,20.866,NA,0,NA,0,64.799
116,1,116,151.028,103.981,0,53.4,448.465,26.286,NA,5.465,NA,176.424,176.424
117,1,117,143.527,103.981,0,62.3,455.965,33.779,NA,7.5,NA,180,3.576
118,1,118,142.164,99.549,0,66.5,460.602,35.59,NA,4.637,NA,-107.103,72.897
119,1,119,142.505,96.48,0,56,463.69,35.886,NA,3.087,NA,-83.66,23.443
120,1,120,140.118,98.185,0,67.5,466.622,37.844,NA,2.933,NA,144.462,-131.878
121,1,121,138.414,102.617,0,52.4,471.371,38.96,NA,4.748,NA,111.038,-33.425
122,1,122,138.414,106.367,0,72.6,475.121,38.878,NA,3.75,NA,90,-21.038
123,1,123,139.095,108.072,0,58.5,476.957,38.28,NA,1.836,NA,68.199,-21.801
124,1,124,136.368,107.39,0,72.3,479.768,40.962,NA,2.811,NA,-165.964,125.838
125,1,125,135.686,102.958,0,58.6,484.252,41.661,NA,4.484,NA,-98.746,67.218
126,1,126,134.323,102.958,0,61.9,485.616,43.022,NA,1.364,NA,180,-81.254
127,1,127,132.618,103.64,0,65.1,487.452,44.693,NA,1.836,NA,158.199,-21.801
128,1,128,131.254,103.64,0,58.6,488.815,46.056,NA,1.364,NA,180,21.801
129,1,129,127.845,101.935,0,51.3,492.627,49.551,NA,3.812,NA,-153.435,26.565
