Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,177.279,105.344,0,67.6,0,0,NA,NA,NA,NA,NA
2,1,2,177.279,108.413,0,72.4,3.068,3.068,NA,3.068,NA,90,NA
3,1,3,176.938,114.89,0,76.1,9.555,9.552,NA,6.486,NA,93.013,3.013
4,1,4,172.165,115.913,0,74.4,14.436,11.741,NA,4.881,NA,167.905,74.892
5,1,5,173.188,111.14,0,82.5,19.317,7.094,NA,4.881,NA,-77.905,114.19
6,1,6,173.528,104.322,0,73.4,26.144,3.887,NA,6.827,NA,-87.138,-9.232
7,1,7,171.824,97.162,0,79.4,33.504,9.834,NA,7.359,NA,-103.392,-16.255
8,1,8,171.824,97.162,0,68.9,33.504,9.834,NA,0,NA,0,103.392
9,1,9,172.165,97.503,0,72.1,33.986,9.361,NA,0.482,NA,45,45
10,1,10,172.165,102.958,0,70.3,39.44,5.643,NA,5.455,NA,90,45
11,1,11,170.46,104.663,0,70.9,41.851,6.852,NA,2.411,NA,135,45
12,1,12,170.119,111.822,0,71.4,49.019,9.655,NA,7.167,NA,92.726,-42.274
13,1,13,170.119,116.595,0,67.2,53.791,13.335,NA,4.773,NA,90,-2.726
14,1,14,167.051,118.299,0,86.4,57.301,16.506,NA,3.51,NA,150.945,60.945
15,1,15,166.369,114.549,0,72.4,61.113,14.274,NA,3.812,NA,-100.305,108.75
16,1,16,167.051,111.14,0,70.1,64.59,11.756,NA,3.477,NA,-78.69,21.615
17,1,17,167.051,104.663,0,81.4,71.067,10.25,NA,6.477,NA,-90,-11.31
18,1,18,168.074,103.64,0,68.9,72.514,9.361,NA,1.446,NA,-45,45
19,1,19,168.074,100.571,0,63.1,75.582,10.369,NA,3.068,NA,-90,-45
20,1,20,165.346,97.503,0,74.4,79.687,14.278,NA,4.105,NA,-131.634,-41.634
21,1,21,165.346,101.594,0,67.4,83.778,12.508,NA,4.091,NA,90,-138.366
22,1,22,167.733,110.799,0,70.1,93.287,10.994,NA,9.509,NA,75.466,-14.534
23,1,23,171.142,116.254,0,70,99.72,12.517,NA,6.432,NA,57.995,-17.471
