Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,190.411,95.485,0,62,0,0,NA,NA,NA,NA,NA
2,1,2,190.691,102.766,0,62,7.286,7.286,NA,7.286,NA,87.797,NA
3,1,3,182.85,107.526,0,56.1,16.458,14.218,NA,9.172,NA,148.736,60.939
4,1,4,182.29,106.966,0,55.9,17.25,14.062,NA,0.792,NA,-135,76.264
5,1,5,182.01,100.806,0,50.1,23.417,9.944,NA,6.167,NA,-92.603,42.397
6,1,6,182.57,92.125,0,54.7,32.115,8.53,NA,8.699,NA,-86.309,6.294
7,1,7,182.85,84.285,0,80.2,39.961,13.513,NA,7.845,NA,-87.955,-1.646
8,1,8,183.13,82.605,0,69.2,41.664,14.796,NA,1.703,NA,-80.538,7.417
9,1,9,182.01,84.005,0,61.9,43.457,14.226,NA,1.793,NA,128.66,-150.803
10,1,10,182.57,88.485,0,73.2,47.972,10.511,NA,4.515,NA,82.875,-45.785
11,1,11,187.051,95.485,0,69,56.284,3.36,NA,8.311,NA,57.381,-25.494
12,1,12,189.011,104.726,0,70.1,65.73,9.346,NA,9.446,NA,78.024,20.643
13,1,13,190.131,112.846,0,62,73.927,17.363,NA,8.197,NA,82.147,4.123
14,1,14,188.451,114.527,0,50.4,76.303,19.142,NA,2.376,NA,135,52.853
15,1,15,185.651,110.606,0,55,81.121,15.852,NA,4.818,NA,-125.538,99.462
16,1,16,185.091,104.166,0,69.3,87.585,10.181,NA,6.465,NA,-94.97,30.568
17,1,17,184.811,95.485,0,75.9,96.27,5.6,NA,8.685,NA,-91.848,3.122
18,1,18,183.97,89.605,0,56.9,102.21,8.721,NA,5.94,NA,-98.13,-6.282
19,1,19,184.531,86.525,0,108.5,105.341,10.718,NA,3.131,NA,-79.695,18.435
20,1,20,183.13,88.485,0,81.8,107.75,10.1,NA,2.409,NA,125.538,-154.767
21,1,21,182.57,96.886,0,65.3,116.169,7.964,NA,8.419,NA,93.814,-31.724
22,1,22,182.29,107.806,0,64.5,127.093,14.756,NA,10.924,NA,91.469,-2.345
23,1,23,182.29,115.927,0,94.3,135.214,21.995,NA,8.12,NA,90,-1.469
24,1,24,181.17,117.047,0,99.1,136.798,23.458,NA,1.584,NA,135,45
25,1,25,181.45,112.846,0,93.4,141.007,19.537,NA,4.21,NA,-86.186,138.814
26,1,26,183.69,107.526,0,88.7,146.78,13.789,NA,5.773,NA,-67.166,19.02
27,1,27,185.091,102.206,0,75.7,152.281,8.571,NA,5.501,NA,-75.256,-8.09
28,1,28,185.931,98.006,0,87.7,156.565,5.14,NA,4.283,NA,-78.69,-3.434
29,1,29,185.931,98.846,0,69.8,157.405,5.6,NA,0.84,NA,90,168.69
30,1,30,184.531,104.726,0,73.9,163.45,10.953,NA,6.045,NA,103.392,13.392
31,1,31,184.811,112.286,0,73.5,171.015,17.71,NA,7.566,NA,87.879,-15.514
32,1,32,185.371,119.847,0,76.9,178.596,24.877,NA,7.581,NA,85.764,-2.115
33,1,33,185.091,124.327,0,90.9,183.085,29.328,NA,4.489,NA,93.576,7.813
34,1,34,183.41,124.327,0,72.7,184.765,29.679,NA,1.68,NA,180,86.424
35,1,35,182.57,119.567,0,73.7,189.599,25.326,NA,4.834,NA,-100.008,79.992
36,1,36,182.85,111.726,0,80.7,197.445,17.914,NA,7.845,NA,-87.955,12.053
37,1,37,182.57,104.166,0,76.7,205.01,11.697,NA,7.566,NA,-92.121,-4.167
38,1,38,183.13,96.325,0,76.9,212.871,7.329,NA,7.86,NA,-85.914,6.207
39,1,39,183.69,92.685,0,94.2,216.554,7.28,NA,3.683,NA,-81.254,4.661
40,1,40,183.97,95.765,0,95.9,219.647,6.446,NA,3.093,NA,84.806,166.059
41,1,41,183.97,99.966,0,86.1,223.847,7.845,NA,4.2,NA,90,5.194
42,1,42,182.29,105.286,0,57.5,229.426,12.728,NA,5.579,NA,107.526,17.526
43,1,43,180.05,112.006,0,57.1,236.51,19.501,NA,7.084,NA,108.435,0.909
44,1,44,179.77,110.046,0,45.2,238.49,18.034,NA,1.98,NA,-98.13,153.435
45,1,45,183.13,99.406,0,56.1,249.649,8.269,NA,11.159,NA,-72.474,25.656
46,1,46,184.25,90.725,0,70.9,258.401,7.785,NA,8.752,NA,-82.648,-10.173
47,1,47,183.69,84.845,0,64.2,264.308,12.585,NA,5.907,NA,-95.44,-12.793
48,1,48,180.89,85.405,0,76.9,267.164,13.866,NA,2.856,NA,168.69,-95.87
49,1,49,180.89,91.565,0,79.3,273.324,10.296,NA,6.16,NA,90,-78.69
50,1,50,182.29,99.966,0,75.6,281.84,9.274,NA,8.516,NA,80.538,-9.462
51,1,51,182.01,110.046,0,59.5,291.925,16.81,NA,10.084,NA,91.591,11.053
52,1,52,184.25,115.927,0,68,298.217,21.349,NA,6.293,NA,69.146,-22.446
53,1,53,183.41,113.966,0,70.1,300.35,19.762,NA,2.133,NA,-113.199,177.656
54,1,54,181.73,106.966,0,59.4,307.549,14.393,NA,7.199,NA,-103.496,9.703
55,1,55,180.61,97.726,0,63.3,316.857,10.053,NA,9.308,NA,-96.911,6.585
56,1,56,178.37,89.885,0,55.1,325.011,13.279,NA,8.154,NA,-105.945,-9.034
57,1,57,177.81,88.765,0,53.6,326.264,14.281,NA,1.252,NA,-116.565,-10.62
58,1,58,176.13,95.205,0,66.6,332.92,14.284,NA,6.656,NA,104.621,-138.814
59,1,59,174.45,105.566,0,56.1,343.416,18.878,NA,10.496,NA,99.211,-5.41
60,1,60,177.25,116.207,0,65.3,354.418,24.547,NA,11.003,NA,75.256,-23.955
61,1,61,178.93,123.487,0,70,361.89,30.264,NA,7.472,NA,77.005,1.749
62,1,62,175.29,124.887,0,60.3,365.79,33.062,NA,3.9,NA,158.962,81.957
63,1,63,173.33,121.527,0,51.5,369.68,31.144,NA,3.89,NA,-120.256,80.781
64,1,64,175.57,111.726,0,66.2,379.734,22,NA,10.053,NA,-77.125,43.131
65,1,65,174.73,102.486,0,68.8,389.012,17.173,NA,9.279,NA,-95.194,-18.069
66,1,66,175.57,98.286,0,85.1,393.296,15.103,NA,4.283,NA,-78.69,16.504
