Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
67,1,67,173.61,99.126,0,86.1,395.428,17.191,NA,2.133,NA,156.801,-124.509
68,1,68,171.93,104.446,0,54,401.008,20.539,NA,5.579,NA,107.526,-49.276
69,1,69,171.09,109.766,0,57.3,406.394,24.026,NA,5.386,NA,98.973,-8.553
70,1,70,165.489,111.166,0,50.3,412.166,29.444,NA,5.773,NA,165.964,66.991
71,1,71,164.649,110.046,0,63.1,413.567,29.592,NA,1.4,NA,-126.87,67.166
72,1,72,162.409,101.646,0,80.2,422.261,28.671,NA,8.694,NA,-104.931,21.938
73,1,73,160.169,98.286,0,96.9,426.299,30.371,NA,4.038,NA,-123.69,-18.759
74,1,74,156.249,97.446,0,86,430.308,34.218,NA,4.009,NA,-167.905,-44.215
75,1,75,150.929,99.126,0,78.6,435.888,39.65,NA,5.579,NA,162.474,-29.62
76,1,76,145.608,102.766,0,71.1,442.334,45.39,NA,6.446,NA,145.62,-16.855
77,1,77,142.808,104.726,0,75,445.752,48.491,NA,3.418,NA,145.008,-0.612
