Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,144.674,95.328,0,70.1,0,0,NA,NA,NA,NA,NA
2,1,2,141.31,96.449,0,63.9,3.547,3.547,NA,3.547,NA,161.565,NA
3,1,3,139.908,90.842,0,64.4,9.327,6.545,NA,5.78,NA,-104.036,94.399
4,1,4,138.786,86.636,0,65.2,13.679,10.498,NA,4.353,NA,-104.931,-0.895
5,1,5,138.225,78.505,0,54.8,21.829,18.016,NA,8.15,NA,-93.945,10.986
6,1,6,137.665,73.459,0,67.6,26.907,22.965,NA,5.078,NA,-96.34,-2.395
7,1,7,136.823,73.178,0,52.2,27.794,23.5,NA,0.887,NA,-161.565,-65.225
8,1,8,135.141,77.384,0,53.7,32.323,20.319,NA,4.53,NA,111.801,-86.634
9,1,9,134.3,83.552,0,49.8,38.549,15.694,NA,6.225,NA,97.765,-14.036
10,1,10,134.3,89.44,0,62.9,44.437,11.928,NA,5.888,NA,90,-7.765
11,1,11,134.58,93.926,0,66.4,48.932,10.19,NA,4.495,NA,86.424,-3.576
12,1,12,137.104,105.421,0,85.1,60.701,12.617,NA,11.769,NA,77.619,-8.804
13,1,13,137.945,109.347,0,80.6,64.715,15.55,NA,4.014,NA,77.905,0.286
14,1,14,137.945,107.945,0,93,66.117,14.299,NA,1.402,NA,-90,-167.905
15,1,15,137.945,105.421,0,89.7,68.64,12.131,NA,2.523,NA,-90,0
16,1,16,137.945,98.973,0,70.1,75.089,7.653,NA,6.449,NA,-90,0
17,1,17,137.945,95.889,0,63.9,78.173,6.752,NA,3.084,NA,-90,0
18,1,18,136.823,92.524,0,62.1,81.72,8.336,NA,3.547,NA,-108.435,-18.435
19,1,19,134.3,85.234,0,51.7,89.434,14.474,NA,7.714,NA,-109.093,-0.659
20,1,20,134.3,80.468,0,51.3,94.2,18.123,NA,4.766,NA,-90,19.093
21,1,21,128.973,80.188,0,53.9,99.535,21.812,NA,5.335,NA,-176.987,-86.987
22,1,22,128.973,80.188,0,51.3,99.535,21.812,NA,0,NA,0,176.987
23,1,23,128.973,86.356,0,55.8,105.703,18.084,NA,6.168,NA,90,90
24,1,24,131.216,97.851,0,70.1,117.415,13.693,NA,11.712,NA,78.959,-11.041
25,1,25,132.337,106.263,0,68.8,125.901,16.485,NA,8.486,NA,82.405,3.446
26,1,26,132.898,110.749,0,78.2,130.422,19.403,NA,4.521,NA,82.875,0.47
27,1,27,133.459,114.113,0,81.6,133.833,21.878,NA,3.411,NA,80.538,-2.337
28,1,28,133.179,112.992,0,79.3,134.989,21.075,NA,1.156,NA,-104.036,175.426
29,1,29,132.337,107.945,0,71,140.105,17.646,NA,5.116,NA,-99.462,4.574
30,1,30,131.777,104.58,0,67.4,143.516,15.873,NA,3.411,NA,-99.462,0
31,1,31,131.216,98.132,0,70.1,149.989,13.747,NA,6.473,NA,-94.97,4.493
32,1,32,130.094,93.646,0,62.2,154.613,14.676,NA,4.624,NA,-104.036,-9.067
33,1,33,128.973,88.038,0,60.9,160.332,17.311,NA,5.719,NA,-101.31,2.726
34,1,34,129.534,86.075,0,52.7,162.373,17.744,NA,2.041,NA,-74.055,27.255
35,1,35,129.534,89.72,0,71.3,166.018,16.145,NA,3.645,NA,90,164.055
36,1,36,128.132,95.608,0,66.6,172.07,16.545,NA,6.052,NA,103.392,13.392
37,1,37,124.487,95.328,0,71,175.726,20.187,NA,3.656,NA,-175.601,81.006
38,1,38,123.085,92.524,0,61.9,178.861,21.77,NA,3.135,NA,-116.565,59.036
39,1,39,122.524,89.44,0,49.2,181.995,22.919,NA,3.135,NA,-100.305,16.26
40,1,40,121.964,86.917,0,58.5,184.58,24.218,NA,2.585,NA,-102.529,-2.224
41,1,41,121.683,84.954,0,58.2,186.563,25.223,NA,1.983,NA,-98.13,4.399
42,1,42,127.291,79.627,0,53.5,194.297,23.424,NA,7.735,NA,-43.531,54.599
43,1,43,129.814,79.346,0,53.7,196.836,21.823,NA,2.539,NA,-6.34,37.191
44,1,44,131.496,77.945,0,56.2,199.026,21.814,NA,2.19,NA,-39.806,-33.465
45,1,45,131.496,77.945,0,63,199.026,21.814,NA,0,NA,0,39.806
46,1,46,131.216,81.87,0,56.2,202.961,19.033,NA,3.935,NA,94.086,94.086
47,1,47,131.216,87.197,0,49.8,208.288,15.724,NA,5.327,NA,90,-4.086
48,1,48,133.739,97.01,0,62.7,218.421,11.063,NA,10.132,NA,75.579,-14.421
49,1,49,132.337,102.898,0,66.6,224.473,14.474,NA,6.052,NA,103.392,27.813
50,1,50,132.337,106.263,0,69,227.838,16.485,NA,3.365,NA,90,-13.392
51,1,51,133.459,109.066,0,70.2,230.858,17.735,NA,3.02,NA,68.199,-21.801
52,1,52,134.02,111.87,0,83.7,233.717,19.676,NA,2.859,NA,78.69,10.491
53,1,53,134.02,112.992,0,98.9,234.838,20.628,NA,1.122,NA,90,11.31
54,1,54,134.58,113.552,0,72.4,235.631,20.833,NA,0.793,NA,45,-45
55,1,55,135.982,113.833,0,68.8,237.061,20.444,NA,1.43,NA,11.31,-33.69
56,1,56,137.384,114.113,0,110.5,238.491,20.15,NA,1.43,NA,11.31,0
57,1,57,138.225,113.552,0,110.7,239.502,19.332,NA,1.011,NA,-33.69,-45
58,1,58,137.945,111.309,0,86.4,241.762,17.34,NA,2.26,NA,-97.125,-63.435
59,1,59,136.543,109.066,0,72.3,244.407,15.964,NA,2.645,NA,-122.005,-24.88
60,1,60,137.104,98.692,0,67.8,254.796,8.284,NA,10.389,NA,-86.906,35.099
61,1,61,135.141,91.963,0,60.9,261.805,10.109,NA,7.009,NA,-106.26,-19.354
62,1,62,135.702,86.356,0,58.2,267.441,12.688,NA,5.635,NA,-84.289,21.971
63,1,63,135.982,84.674,0,54.8,269.146,13.75,NA,1.705,NA,-80.538,3.752
64,1,64,134.861,86.075,0,51.4,270.942,13.487,NA,1.795,NA,128.66,-150.803
65,1,65,135.141,93.646,0,67.4,278.517,9.68,NA,7.575,NA,87.879,-40.781
66,1,66,136.263,99.814,0,74.4,284.786,9.533,NA,6.269,NA,79.695,-8.184
67,1,67,136.823,99.253,0,72,285.579,8.777,NA,0.793,NA,-45,-124.695
68,1,68,134.3,101.496,0,67.4,288.956,12.069,NA,3.376,NA,138.366,-176.634
69,1,69,134.02,98.973,0,65.4,291.495,11.261,NA,2.539,NA,-96.34,125.293
70,1,70,132.337,91.683,0,64.5,298.976,12.864,NA,7.481,NA,-102.995,-6.654
71,1,71,132.337,91.683,0,57.3,298.976,12.864,NA,0,NA,0,102.995
72,1,72,132.337,91.683,0,65.1,298.976,12.864,NA,0,NA,0,0
73,1,73,129.814,88.318,0,42.3,303.182,16.43,NA,4.206,NA,-126.87,-126.87
74,1,74,127.851,84.954,0,53.7,307.077,19.764,NA,3.895,NA,-120.256,6.613
75,1,75,127.01,84.113,0,71.4,308.266,20.923,NA,1.19,NA,-135,-14.744
76,1,76,129.534,83.272,0,55.8,310.926,19.354,NA,2.66,NA,-18.435,116.565
77,1,77,130.655,80.468,0,55.8,313.946,20.429,NA,3.02,NA,-68.199,-49.764
78,1,78,132.057,77.664,0,53.7,317.081,21.707,NA,3.135,NA,-63.435,4.764
79,1,79,132.898,77.945,0,58.3,317.967,20.996,NA,0.887,NA,18.435,81.87
80,1,80,132.898,79.066,0,53.7,319.089,20.078,NA,1.122,NA,90,71.565
81,1,81,133.179,78.786,0,66.7,319.485,20.144,NA,0.397,NA,-45,-135
82,1,82,134.58,78.786,0,53.7,320.887,19.378,NA,1.402,NA,0,45
83,1,83,134.58,79.346,0,51.7,321.448,18.902,NA,0.561,NA,90,90
84,1,84,136.823,83.552,0,46.7,326.214,14.153,NA,4.766,NA,61.928,-28.072
85,1,85,138.506,84.393,0,51,328.095,12.554,NA,1.881,NA,26.565,-35.362
86,1,86,138.786,95.328,0,62.9,339.033,5.888,NA,10.938,NA,88.531,61.966
87,1,87,139.908,99.533,0,70.4,343.386,6.357,NA,4.353,NA,75.069,-13.463
88,1,88,140.749,101.216,0,84.1,345.267,7.076,NA,1.881,NA,63.435,-11.634
89,1,89,138.506,98.692,0,67.6,348.643,7.026,NA,3.376,NA,-131.634,164.932
90,1,90,136.543,92.804,0,59.6,354.849,8.513,NA,6.206,NA,-108.435,23.199
91,1,91,134.58,88.038,0,57,360.004,12.451,NA,5.155,NA,-112.38,-3.945
92,1,92,135.702,82.991,0,58.2,365.174,15.254,NA,5.17,NA,-77.471,34.909
93,1,93,135.702,80.748,0,54.8,367.417,17.119,NA,2.243,NA,-90,-12.529
94,1,94,134.861,79.346,0,52.7,369.052,18.754,NA,1.635,NA,-120.964,-30.964
95,1,95,134.3,78.505,0,51.2,370.063,19.764,NA,1.011,NA,-123.69,-2.726
96,1,96,134.02,79.907,0,51.3,371.492,18.743,NA,1.43,NA,101.31,-135
97,1,97,133.459,84.954,0,49,376.57,15.277,NA,5.078,NA,96.34,-4.97
98,1,98,133.459,93.085,0,57.2,384.701,11.437,NA,8.131,NA,90,-6.34
99,1,99,134.3,97.851,0,60.9,389.541,10.676,NA,4.84,NA,79.992,-10.008
100,1,100,131.777,102.618,0,65.2,394.934,14.815,NA,5.393,NA,117.897,37.905
101,1,101,130.936,100.094,0,65.6,397.594,14.542,NA,2.66,NA,-108.435,133.668
102,1,102,130.936,94.206,0,59.6,403.482,13.784,NA,5.888,NA,-90,18.435
103,1,103,130.936,94.206,0,59.6,403.482,13.784,NA,0,NA,0,90
104,1,104,132.337,93.085,0,63.4,405.277,12.539,NA,1.795,NA,-38.66,-38.66
105,1,105,132.618,89.44,0,69,408.933,13.417,NA,3.656,NA,-85.601,-46.941
106,1,106,133.739,85.234,0,78.4,413.285,14.881,NA,4.353,NA,-75.069,10.533
107,1,107,135.982,84.113,0,53.7,415.793,14.189,NA,2.508,NA,-26.565,48.504
108,1,108,136.543,83.272,0,49,416.804,14.542,NA,1.011,NA,-56.31,-29.745
109,1,109,135.141,82.15,0,55.8,418.599,16.264,NA,1.795,NA,-141.34,-85.03
110,1,110,133.179,81.87,0,53.5,420.582,17.699,NA,1.983,NA,-171.87,-30.53
111,1,111,132.337,81.87,0,52.6,421.423,18.257,NA,0.841,NA,180,-8.13
112,1,112,132.337,85.795,0,48.8,425.348,15.591,NA,3.925,NA,90,-90
113,1,113,130.936,91.403,0,65.3,431.128,14.288,NA,5.78,NA,104.036,14.036
114,1,114,130.655,96.169,0,65.3,435.903,14.044,NA,4.775,NA,93.366,-10.67
115,1,115,130.375,100.655,0,65.4,440.398,15.259,NA,4.495,NA,93.576,0.21
116,1,116,130.375,102.057,0,67.8,441.8,15.803,NA,1.402,NA,90,-3.576
117,1,117,129.814,104.019,0,69,443.841,17.215,NA,2.041,NA,105.945,15.945
118,1,118,130.094,105.702,0,70.1,445.546,17.894,NA,1.705,NA,80.538,-25.408
119,1,119,128.973,104.019,0,68.9,447.568,17.946,NA,2.022,NA,-123.69,155.772
120,1,120,127.01,98.412,0,64.4,453.509,17.931,NA,5.941,NA,-109.29,14.4
121,1,121,127.571,93.085,0,56.2,458.866,17.249,NA,5.357,NA,-83.991,25.299
122,1,122,125.889,90.281,0,55,462.136,19.451,NA,3.27,NA,-120.964,-36.973
123,1,123,126.45,84.393,0,68.8,468.05,21.253,NA,5.915,NA,-84.56,36.404
124,1,124,128.693,81.589,0,54.6,471.641,21.075,NA,3.591,NA,-51.34,33.219
125,1,125,132.337,79.627,0,55.8,475.78,19.968,NA,4.14,NA,-28.301,23.039
126,1,126,132.337,79.627,0,56.8,475.78,19.968,NA,0,NA,0,28.301
127,1,127,132.337,78.786,0,53.7,476.621,20.636,NA,0.841,NA,-90,-90
128,1,128,132.337,79.066,0,54.8,476.902,20.412,NA,0.28,NA,90,180
129,1,129,133.179,84.113,0,47.8,482.018,16.06,NA,5.116,NA,80.538,-9.462
130,1,130,135.982,95.889,0,61.7,494.123,8.71,NA,12.105,NA,76.608,-3.93
131,1,131,135.702,100.935,0,70.9,499.178,10.58,NA,5.055,NA,93.18,16.572
132,1,132,135.422,104.58,0,75.9,502.833,13.085,NA,3.656,NA,94.399,1.219
133,1,133,135.982,104.861,0,73.7,503.46,12.9,NA,0.627,NA,26.565,-67.834
134,1,134,134.861,100.935,0,64,507.543,11.302,NA,4.082,NA,-105.945,-132.51
135,1,135,132.057,94.206,0,61.9,514.832,12.667,NA,7.29,NA,-112.62,-6.674
136,1,136,131.216,85.515,0,58.5,523.565,16.656,NA,8.732,NA,-95.528,17.092
137,1,137,131.777,81.87,0,56.2,527.252,18.64,NA,3.688,NA,-81.254,14.274
138,1,138,132.057,74.3,0,63.2,534.828,24.523,NA,7.575,NA,-87.879,-6.625
139,1,139,130.375,73.178,0,65.5,536.85,26.364,NA,2.022,NA,-146.31,-58.431
140,1,140,129.534,74.86,0,58.5,538.73,25.459,NA,1.881,NA,116.565,-97.125
141,1,141,128.973,80.468,0,53.7,544.366,21.618,NA,5.635,NA,95.711,-20.854
142,1,142,128.693,87.477,0,52.7,551.381,17.806,NA,7.015,NA,92.291,-3.42
143,1,143,130.094,92.524,0,53.9,556.619,14.847,NA,5.238,NA,74.476,-17.815
144,1,144,130.655,98.692,0,67.6,562.813,14.417,NA,6.194,NA,84.806,10.33
145,1,145,130.936,106.263,0,69,570.388,17.559,NA,7.575,NA,87.879,3.073
146,1,146,131.496,107.104,0,71.2,571.399,17.673,NA,1.011,NA,56.31,-31.569
147,1,147,131.496,103.178,0,61.9,575.324,15.339,NA,3.925,NA,-90,-146.31
148,1,148,130.936,99.253,0,67.4,579.289,14.288,NA,3.965,NA,-98.13,-8.13
149,1,149,130.936,93.085,0,49.2,585.457,13.92,NA,6.168,NA,-90,8.13
150,1,150,130.375,90.842,0,60.4,587.769,14.986,NA,2.312,NA,-104.036,-14.036
151,1,151,129.814,84.954,0,58.5,593.684,18.123,NA,5.915,NA,-95.44,8.596
152,1,152,129.253,79.346,0,53.5,599.32,22.208,NA,5.635,NA,-95.711,-0.27
153,1,153,128.973,77.103,0,51.7,601.58,24.055,NA,2.26,NA,-97.125,-1.414
154,1,154,128.412,73.739,0,92.3,604.991,27.028,NA,3.411,NA,-99.462,-2.337
155,1,155,127.851,71.216,0,74.9,607.576,29.401,NA,2.585,NA,-102.529,-3.066
156,1,156,127.851,72.898,0,71,609.258,28.038,NA,1.682,NA,90,-167.471
157,1,157,128.693,79.346,0,49.8,615.761,22.601,NA,6.503,NA,82.569,-7.431
158,1,158,130.375,81.589,0,54.8,618.565,19.83,NA,2.804,NA,53.13,-29.438
159,1,159,132.618,86.356,0,47.8,623.833,15.028,NA,5.268,NA,64.799,11.669
160,1,160,132.618,90.842,0,67.5,628.319,12.864,NA,4.486,NA,90,25.201
161,1,161,133.179,92.244,0,63.1,629.829,11.902,NA,1.51,NA,68.199,-21.801
162,1,162,130.655,93.646,0,59.3,632.715,14.119,NA,2.887,NA,150.945,82.747
163,1,163,127.571,91.122,0,53.7,636.7,17.612,NA,3.985,NA,-140.711,68.344
164,1,164,130.655,89.72,0,79.4,640.088,15.099,NA,3.388,NA,-24.444,116.267
165,1,165,134.3,86.917,0,51.7,644.687,13.355,NA,4.599,NA,-37.569,-13.125
166,1,166,138.225,86.917,0,62,648.612,10.599,NA,3.925,NA,0,37.569
167,1,167,137.945,86.917,0,58.6,648.892,10.772,NA,0.28,NA,180,180
168,1,168,137.665,85.795,0,51.2,650.048,11.832,NA,1.156,NA,-104.036,75.964
169,1,169,136.823,83.832,0,55.2,652.184,13.92,NA,2.135,NA,-113.199,-9.162
170,1,170,136.263,82.711,0,53.7,653.437,15.164,NA,1.254,NA,-116.565,-3.366
171,1,171,136.263,82.15,0,56.8,653.998,15.633,NA,0.561,NA,-90,26.565
172,1,172,136.263,82.15,0,54.8,653.998,15.633,NA,0,NA,0,90
173,1,173,135.702,84.393,0,55.2,656.31,14.144,NA,2.312,NA,104.036,104.036
174,1,174,135.702,93.646,0,64,665.563,9.128,NA,9.252,NA,90,-14.036
175,1,175,135.982,102.337,0,76.9,674.259,11.166,NA,8.696,NA,88.152,-1.848
176,1,176,135.982,108.225,0,94.7,680.147,15.553,NA,5.888,NA,90,1.848
177,1,177,134.3,111.87,0,72.4,684.161,19.526,NA,4.014,NA,114.775,24.775
178,1,178,133.739,113.552,0,82.7,685.934,21.253,NA,1.773,NA,108.435,-6.34
179,1,179,132.337,107.945,0,72,691.714,17.646,NA,5.78,NA,-104.036,147.529
180,1,180,131.216,105.141,0,67.4,694.734,16.656,NA,3.02,NA,-111.801,-7.765
181,1,181,130.936,100.935,0,68.9,698.949,14.839,NA,4.215,NA,-93.814,17.987
182,1,182,131.216,91.683,0,69.1,708.206,13.943,NA,9.257,NA,-88.264,5.55
183,1,183,132.057,86.636,0,50,713.322,15.321,NA,5.116,NA,-80.538,7.727
184,1,184,131.216,81.029,0,56.2,718.992,19.636,NA,5.67,NA,-98.531,-17.993
185,1,185,130.655,75.141,0,52.7,724.907,24.577,NA,5.915,NA,-95.44,3.09
186,1,186,131.496,75.141,0,52.5,725.748,24.107,NA,0.841,NA,0,95.44
187,1,187,131.496,79.627,0,53.7,730.234,20.498,NA,4.486,NA,90,90
188,1,188,132.057,82.711,0,54.8,733.369,17.843,NA,3.135,NA,79.695,-10.305
189,1,189,133.179,92.524,0,58.4,743.246,11.832,NA,9.877,NA,83.48,3.785
190,1,190,133.179,100.655,0,72.3,751.377,12.67,NA,8.131,NA,90,6.52
191,1,191,133.739,104.58,0,74.4,755.342,14.324,NA,3.965,NA,81.87,-8.13
192,1,192,134.3,110.188,0,79.5,760.977,18.123,NA,5.635,NA,84.289,2.42
193,1,193,134.02,113.833,0,92.3,764.633,21.353,NA,3.656,NA,94.399,10.109
194,1,194,134.02,116.636,0,72.6,767.437,23.824,NA,2.804,NA,90,-4.399
195,1,195,134.3,117.478,0,96.6,768.323,24.459,NA,0.887,NA,71.565,-18.435
196,1,196,133.459,111.309,0,65.2,774.549,19.524,NA,6.225,NA,-97.765,-169.33
197,1,197,133.459,95.889,0,59.6,789.969,11.229,NA,15.421,NA,-90,7.765
198,1,198,132.057,88.599,0,51,797.393,14.299,NA,7.423,NA,-100.886,-10.886
199,1,199,132.898,85.795,0,53.9,800.32,15.151,NA,2.927,NA,-73.301,27.585
200,1,200,134.861,79.627,0,60.5,806.793,18.515,NA,6.473,NA,-72.35,0.951
201,1,201,134.861,76.823,0,59.7,809.597,20.946,NA,2.804,NA,-90,-17.65
202,1,202,135.141,76.823,0,60.7,809.877,20.816,NA,0.28,NA,0,90
203,1,203,136.823,77.664,0,50.4,811.758,19.33,NA,1.881,NA,26.565,26.565
204,1,204,136.823,82.15,0,46.7,816.244,15.339,NA,4.486,NA,90,63.435
205,1,205,135.422,86.075,0,49.2,820.412,13.085,NA,4.168,NA,109.654,19.654
206,1,206,135.422,93.646,0,65.6,827.982,9.404,NA,7.57,NA,90,-19.654
207,1,207,135.422,100.094,0,69.7,834.431,10.408,NA,6.449,NA,90,0
208,1,208,134.58,103.459,0,72.1,837.899,12.961,NA,3.468,NA,104.036,14.036
209,1,209,136.543,107.664,0,83.1,842.54,14.775,NA,4.641,NA,64.983,-39.053
210,1,210,136.263,104.58,0,87.7,845.637,12.504,NA,3.097,NA,-95.194,-160.178
211,1,211,136.263,96.73,0,70.1,853.487,8.527,NA,7.851,NA,-90,5.194
212,1,212,135.702,89.44,0,59.6,860.799,10.731,NA,7.311,NA,-94.399,-4.399
213,1,213,135.702,85.795,0,56.2,864.444,13.091,NA,3.645,NA,-90,4.399
214,1,214,135.702,83.552,0,49.8,866.687,14.804,NA,2.243,NA,-90,0
215,1,215,135.422,81.589,0,50.2,868.669,16.564,NA,1.983,NA,-98.13,-8.13
216,1,216,136.263,85.515,0,53.5,872.684,12.925,NA,4.014,NA,77.905,176.035
217,1,217,136.543,88.318,0,57.6,875.501,10.735,NA,2.818,NA,84.289,6.384
218,1,218,136.543,93.926,0,69.9,881.109,8.251,NA,5.608,NA,90,5.711
219,1,219,136.543,98.692,0,76,885.875,8.8,NA,4.766,NA,90,0
220,1,220,132.898,109.907,0,76.2,897.668,18.741,NA,11.792,NA,108.004,18.004
221,1,221,132.057,113.272,0,93.5,901.136,21.936,NA,3.468,NA,104.036,-3.968
222,1,222,132.057,116.076,0,79.3,903.939,24.283,NA,2.804,NA,90,-14.036
223,1,223,131.777,109.347,0,81.4,910.674,19.049,NA,6.735,NA,-92.386,177.614
224,1,224,131.777,110.468,0,74.6,911.796,19.889,NA,1.122,NA,90,-177.614
225,1,225,131.216,102.898,0,67.6,919.387,15.441,NA,7.591,NA,-94.236,175.764
226,1,226,134.861,102.057,0,88.6,923.127,11.899,NA,3.741,NA,-12.995,81.242
227,1,227,136.543,97.851,0,119,927.657,8.513,NA,4.53,NA,-68.199,-55.204
228,1,228,136.543,95.608,0,83.9,929.9,8.136,NA,2.243,NA,-90,-21.801
229,1,229,136.263,91.683,0,63.9,933.835,9.167,NA,3.935,NA,-94.086,-4.086
230,1,230,135.702,88.318,0,60.6,937.246,11.385,NA,3.411,NA,-99.462,-5.377
231,1,231,135.141,93.085,0,64,942.045,9.793,NA,4.799,NA,96.71,-163.828
232,1,232,134.58,98.132,0,78.3,947.123,10.476,NA,5.078,NA,96.34,-0.37
233,1,233,134.3,105.982,0,80.4,954.979,14.871,NA,7.856,NA,92.045,-4.295
234,1,234,134.02,112.431,0,97.9,961.434,20.15,NA,6.455,NA,92.49,0.444
235,1,235,132.057,116.356,0,100.5,965.822,24.523,NA,4.389,NA,116.565,24.075
236,1,236,131.216,117.197,0,102.3,967.012,25.679,NA,1.19,NA,135,18.435
237,1,237,130.936,111.87,0,74.8,972.346,21.503,NA,5.335,NA,-93.013,131.987
238,1,238,130.936,102.337,0,67.4,981.879,15.423,NA,9.533,NA,-90,3.013
239,1,239,130.094,92.244,0,55,992.007,14.902,NA,10.129,NA,-94.764,-4.764
240,1,240,130.655,86.917,0,60.5,997.364,16.349,NA,5.357,NA,-83.991,10.773
241,1,241,133.179,77.664,0,63.2,1006.954,21.075,NA,9.59,NA,-74.745,9.246
242,1,242,135.982,71.776,0,56.2,1013.476,25.104,NA,6.521,NA,-64.537,10.208
243,1,243,135.141,72.337,0,60.7,1014.487,24.889,NA,1.011,NA,146.31,-149.153
244,1,244,134.3,74.86,0,53.9,1017.147,22.946,NA,2.66,NA,108.435,-37.875
245,1,245,133.459,80.188,0,52.7,1022.54,18.842,NA,5.393,NA,98.973,-9.462
246,1,246,131.496,85.234,0,50.3,1027.955,16.599,NA,5.415,NA,111.251,12.278
247,1,247,133.739,95.889,0,63.1,1038.843,10.949,NA,10.888,NA,78.111,-33.139
248,1,248,129.534,102.618,0,68.9,1046.778,16.804,NA,7.935,NA,122.005,43.894
249,1,249,126.73,99.814,0,68.9,1050.743,18.496,NA,3.965,NA,-135,102.995
250,1,250,125.889,95.889,0,63.9,1054.757,18.794,NA,4.014,NA,-102.095,32.905
251,1,251,126.73,92.524,0,60.4,1058.225,18.162,NA,3.468,NA,-75.964,26.131
252,1,252,126.45,89.72,0,50,1061.043,19.068,NA,2.818,NA,-95.711,-19.747
253,1,253,126.169,82.711,0,52.4,1068.058,22.397,NA,7.015,NA,-92.291,3.42
254,1,254,125.608,74.58,0,48.2,1076.208,28.177,NA,8.15,NA,-93.945,-1.655
255,1,255,125.889,73.178,0,52.6,1077.638,29.043,NA,1.43,NA,-78.69,15.255
256,1,256,125.889,72.337,0,63,1078.479,29.689,NA,0.841,NA,-90,-11.31
257,1,257,127.291,72.057,0,66.3,1079.909,29.047,NA,1.43,NA,-11.31,78.69
