Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,200.152,126.501,0,89.9,0,0,NA,NA,NA,NA,NA
2,1,2,202.401,114.132,0,100.6,12.572,12.572,NA,12.572,NA,-79.695,NA
3,1,3,206.618,101.763,0,106.1,25.64,25.569,NA,13.068,NA,-71.175,8.52
4,1,4,207.18,91.643,0,105,35.775,35.559,NA,10.136,NA,-86.82,-15.645
5,1,5,204.65,84.053,0,91.6,43.776,42.686,NA,8.001,NA,-108.435,-21.615
6,1,6,199.028,87.426,0,118.8,50.333,39.091,NA,6.557,NA,149.036,-102.529
7,1,7,199.59,99.233,0,116.4,62.153,27.274,NA,11.82,NA,87.274,-61.763
8,1,8,199.309,121.441,0,88.7,84.362,5.13,NA,22.21,NA,90.725,3.452
9,1,9,198.747,133.529,0,120.1,96.463,7.167,NA,12.101,NA,92.663,1.938
10,1,10,197.622,136.059,0,87.6,99.232,9.887,NA,2.769,NA,113.962,21.299
11,1,11,196.498,130.436,0,79.6,104.966,5.371,NA,5.734,NA,-101.31,144.728
12,1,12,198.747,119.473,0,82.8,116.157,7.167,NA,11.192,NA,-78.408,22.902
13,1,13,201.558,107.104,0,87.5,128.842,19.448,NA,12.684,NA,-77.196,1.212
14,1,14,202.401,96.422,0,105.9,139.557,30.163,NA,10.716,NA,-85.486,-8.29
15,1,15,202.12,94.454,0,117.4,141.545,32.107,NA,1.988,NA,-98.13,-12.644
16,1,16,201.277,97.546,0,124.5,144.75,28.976,NA,3.205,NA,105.255,-156.615
17,1,17,200.715,104.012,0,109.2,151.24,22.496,NA,6.49,NA,94.97,-10.285
18,1,18,199.309,114.694,0,95.7,162.014,11.837,NA,10.774,NA,97.496,2.526
19,1,19,198.747,118.911,0,87.6,166.268,7.719,NA,4.254,NA,97.595,0.099
20,1,20,196.498,116.662,0,108.3,169.449,10.496,NA,3.18,NA,-135,127.405
21,1,21,194.53,104.293,0,104.8,181.973,22.909,NA,12.525,NA,-99.039,35.961
22,1,22,196.217,94.735,0,125.6,191.679,32.009,NA,9.706,NA,-79.992,19.047
23,1,23,195.373,88.832,0,98.2,197.642,37.971,NA,5.963,NA,-98.13,-18.138
24,1,24,192.843,86.864,0,88.3,200.847,40.305,NA,3.205,NA,-142.125,-43.995
25,1,25,190.313,91.643,0,103.8,206.255,36.22,NA,5.407,NA,117.897,-99.978
26,1,26,192,100.919,0,118.9,215.684,26.849,NA,9.429,NA,79.695,-38.202
27,1,27,192.843,114.694,0,106,229.484,13.886,NA,13.8,NA,86.496,6.801
28,1,28,191.157,121.722,0,95.7,236.711,10.186,NA,7.227,NA,103.496,16.999
29,1,29,186.94,122.565,0,85.4,241.011,13.786,NA,4.3,NA,168.69,65.194
30,1,30,187.221,114.132,0,97,249.449,17.894,NA,8.438,NA,-88.091,103.219
31,1,31,188.627,102.325,0,103.8,261.34,26.783,NA,11.89,NA,-83.211,4.88
32,1,32,188.908,90.799,0,123.5,272.869,37.43,NA,11.529,NA,-88.603,-5.392
