Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
69,1,69,138.876,114.076,0,72.5,310.116,25.608,NA,2.778,NA,164.055,-6.483
70,1,70,138.113,112.169,0,71.2,312.17,24.346,NA,2.055,NA,-111.801,84.144
71,1,71,136.587,109.498,0,62.6,315.246,23.059,NA,3.076,NA,-119.745,-7.943
72,1,72,138.494,99.96,0,60.7,324.973,15.132,NA,9.727,NA,-78.69,41.055
73,1,73,135.06,88.514,0,54.6,336.923,16.312,NA,11.95,NA,-106.699,-28.009
74,1,74,132.771,87.37,0,49.9,339.483,18.788,NA,2.559,NA,-153.435,-46.736
75,1,75,129.338,88.133,0,52.3,343,22.016,NA,3.518,NA,167.471,-39.094
76,1,76,125.522,90.422,0,56,347.449,25.588,NA,4.449,NA,149.036,-18.435
77,1,77,124.759,92.711,0,71.2,349.862,26.35,NA,2.413,NA,108.435,-40.601
78,1,78,125.904,98.815,0,53.6,356.073,26.203,NA,6.211,NA,79.38,-29.055
79,1,79,124.378,101.105,0,56.9,358.824,28.359,NA,2.751,NA,123.69,44.31
80,1,80,121.325,104.157,0,51.5,363.141,32.313,NA,4.316,NA,135,11.31
81,1,81,119.036,104.538,0,45.3,365.462,34.574,NA,2.321,NA,170.538,35.538
82,1,82,119.036,101.486,0,50.3,368.514,33.548,NA,3.052,NA,-90,99.462
83,1,83,119.418,98.815,0,51.5,371.212,32.486,NA,2.698,NA,-81.87,8.13
84,1,84,122.47,97.671,0,53.6,374.471,29.258,NA,3.26,NA,-20.556,61.314
85,1,85,127.43,91.948,0,53.3,382.044,23.658,NA,7.573,NA,-49.086,-28.53
86,1,86,130.101,91.566,0,46.8,384.742,20.984,NA,2.698,NA,-8.13,40.956
87,1,87,132.39,91.948,0,49.9,387.063,18.699,NA,2.321,NA,9.462,17.592
88,1,88,133.916,91.566,0,48.9,388.636,17.169,NA,1.573,NA,-14.036,-23.499
89,1,89,135.823,92.329,0,50.1,390.691,15.28,NA,2.055,NA,21.801,35.838
90,1,90,135.823,92.711,0,52.3,391.072,15.304,NA,0.382,NA,90,68.199
91,1,91,135.823,93.474,0,53.6,391.835,15.38,NA,0.763,NA,90,0
92,1,92,136.205,93.474,0,49.9,392.217,15.001,NA,0.382,NA,0,-90
93,1,93,134.297,93.092,0,47.9,394.162,16.856,NA,1.945,NA,-168.69,-168.69
94,1,94,133.916,93.092,0,48.9,394.544,17.236,NA,0.382,NA,180,-11.31
95,1,95,132.771,92.329,0,45.8,395.919,18.329,NA,1.376,NA,-146.31,33.69
96,1,96,131.627,91.185,0,48.1,397.538,19.462,NA,1.619,NA,-135,11.31
97,1,97,131.627,89.277,0,48.9,399.446,19.592,NA,1.908,NA,-90,45
98,1,98,131.627,90.04,0,46.6,400.209,19.518,NA,0.763,NA,90,180
99,1,99,131.627,91.185,0,46.6,401.353,19.462,NA,1.145,NA,90,0
100,1,100,131.627,91.185,0,44.5,401.353,19.462,NA,0,NA,0,-90
101,1,101,130.864,88.133,0,60.2,404.499,20.51,NA,3.146,NA,-104.036,-104.036
102,1,102,130.482,87.37,0,57.4,405.353,21.026,NA,0.853,NA,-116.565,-12.529
103,1,103,130.101,86.988,0,54.4,405.892,21.478,NA,0.54,NA,-135,-18.435
104,1,104,130.864,87.751,0,56.1,406.971,20.578,NA,1.079,NA,45,180
105,1,105,130.864,90.04,0,73.3,409.26,20.278,NA,2.289,NA,90,45
106,1,106,133.153,95,0,60.5,414.723,18.258,NA,5.463,NA,65.225,-24.775
107,1,107,134.297,98.434,0,59.3,418.342,18.138,NA,3.619,NA,71.565,6.34
108,1,108,134.297,102.631,0,71,422.539,20.105,NA,4.197,NA,90,18.435
109,1,109,135.06,107.591,0,86.2,427.557,22.662,NA,5.018,NA,81.254,-8.746
110,1,110,136.968,108.354,0,77.2,429.612,21.934,NA,2.055,NA,21.801,-59.452
111,1,111,138.876,110.643,0,70.8,432.592,22.649,NA,2.98,NA,50.194,28.393
112,1,112,140.402,117.51,0,81.3,439.627,28.057,NA,7.035,NA,77.471,27.277
113,1,113,141.165,118.273,0,97,440.706,28.49,NA,1.079,NA,45,-32.471
114,1,114,141.165,120.562,0,88.4,442.995,30.646,NA,2.289,NA,90,45
115,1,115,141.165,119.036,0,84,444.521,29.206,NA,1.526,NA,-90,-180
116,1,116,141.165,114.458,0,78,449.1,24.948,NA,4.578,NA,-90,0
117,1,117,141.928,103.394,0,81.8,460.19,14.958,NA,11.091,NA,-86.055,3.945
118,1,118,141.928,93.856,0,66.3,469.728,9.438,NA,9.538,NA,-90,-3.945
119,1,119,140.402,88.133,0,65,475.651,11.221,NA,5.923,NA,-104.931,-14.931
