Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,205.463,93.512,0,66.2,0,0,NA,NA,NA,NA,NA
2,1,2,204.146,88.244,0,67.4,5.43,5.43,NA,5.43,NA,-104.036,NA
3,1,3,203.619,84.293,0,66.5,9.417,9.402,NA,3.986,NA,-97.595,6.442
4,1,4,202.302,81.658,0,65.2,12.362,12.268,NA,2.945,NA,-116.565,-18.97
5,1,5,200.985,80.605,0,85,14.048,13.662,NA,1.687,NA,-141.34,-24.775
6,1,6,201.512,80.868,0,62.9,14.637,13.247,NA,0.589,NA,26.565,167.905
7,1,7,201.512,84.029,0,50.2,17.798,10.273,NA,3.161,NA,90,63.435
8,1,8,200.985,87.717,0,57.3,21.524,7.324,NA,3.725,NA,98.13,8.13
9,1,9,200.195,91.668,0,48.9,25.553,5.582,NA,4.029,NA,101.31,3.18
10,1,10,197.824,97.463,0,54.7,31.814,8.6,NA,6.261,NA,112.249,10.939
11,1,11,194.663,101.678,0,46.8,37.083,13.54,NA,5.268,NA,126.87,14.621
12,1,12,191.239,103.785,0,49.9,41.103,17.546,NA,4.021,NA,148.392,21.523
13,1,13,187.814,105.102,0,50.2,44.772,21.114,NA,3.669,NA,158.962,10.57
14,1,14,184.917,103.522,0,58,48.073,22.855,NA,3.301,NA,-151.39,49.648
15,1,15,183.336,100.624,0,50.3,51.374,23.242,NA,3.301,NA,-118.61,32.779
16,1,16,182.81,100.624,0,50.3,51.9,23.744,NA,0.527,NA,180,-61.39
17,1,17,179.649,102.995,0,50.4,55.852,27.501,NA,3.951,NA,143.13,-36.87
18,1,18,178.068,110.107,0,58.5,63.137,32.03,NA,7.286,NA,102.529,-40.601
19,1,19,175.697,115.112,0,87.8,68.675,36.777,NA,5.538,NA,115.346,12.817
20,1,20,175.961,115.639,0,92,69.264,36.878,NA,0.589,NA,63.435,-51.911
21,1,21,176.224,116.429,0,83,70.097,37.15,NA,0.833,NA,71.565,8.13
22,1,22,175.697,120.38,0,84.1,74.083,40.099,NA,3.986,NA,97.595,26.03
23,1,23,174.644,122.488,0,73.3,76.439,42.302,NA,2.356,NA,116.565,18.97
24,1,24,173.063,124.595,0,79.4,79.074,44.899,NA,2.634,NA,126.87,10.305
25,1,25,172.8,124.595,0,80.7,79.337,45.089,NA,0.263,NA,180,53.13
26,1,26,173.59,123.541,0,78.1,80.654,43.791,NA,1.317,NA,-53.13,126.87
27,1,27,174.907,122.488,0,74.5,82.341,42.11,NA,1.687,NA,-38.66,14.47
28,1,28,176.488,119.59,0,78.6,85.641,38.983,NA,3.301,NA,-61.39,-22.73
29,1,29,179.649,113.795,0,72.1,92.243,32.83,NA,6.601,NA,-61.39,0
30,1,30,183.6,109.58,0,56.9,98.02,27.133,NA,5.777,NA,-46.848,14.542
31,1,31,185.444,106.683,0,58.3,101.454,23.963,NA,3.435,NA,-57.529,-10.681
32,1,32,187.551,101.678,0,58.2,106.885,19.686,NA,5.43,NA,-67.166,-9.638
