Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,260.708,91.979,0,158.4,0,0,NA,NA,NA,NA,NA
2,1,2,257.859,93.294,0,153.8,3.137,3.137,NA,3.137,NA,155.225,NA
3,1,3,257.202,97.457,0,155,7.352,6.504,NA,4.215,NA,98.973,-56.252
4,1,4,258.516,103.155,0,150.4,13.2,11.388,NA,5.847,NA,77.005,-21.967
5,1,5,256.325,112.358,0,146.6,22.66,20.845,NA,9.461,NA,103.392,26.387
6,1,6,260.927,117.617,0,133.9,29.648,25.639,NA,6.988,NA,48.814,-54.578
7,1,7,260.927,121.123,0,125.6,33.154,29.145,NA,3.506,NA,90,41.186
8,1,8,259.831,124.848,0,130.5,37.037,32.881,NA,3.883,NA,106.39,16.39
9,1,9,259.612,124.848,0,133.1,37.256,32.887,NA,0.219,NA,180,73.61
10,1,10,257.202,122.219,0,136,40.824,30.442,NA,3.567,NA,-132.51,47.49
11,1,11,255.887,118.932,0,137.5,44.364,27.38,NA,3.54,NA,-111.801,20.709
12,1,12,256.325,112.358,0,143.4,50.952,20.845,NA,6.588,NA,-86.186,25.615
13,1,13,256.982,106.661,0,144.6,56.687,15.147,NA,5.735,NA,-83.418,2.768
14,1,14,255.887,102.935,0,144.4,60.57,11.97,NA,3.883,NA,-106.39,-22.971
15,1,15,256.544,100.306,0,153.7,63.281,9.31,NA,2.71,NA,-75.964,30.426
16,1,16,255.887,100.744,0,165.5,64.071,10.003,NA,0.79,NA,146.31,-137.726
17,1,17,254.791,106.441,0,145.5,69.872,15.626,NA,5.802,NA,100.886,-45.424
18,1,18,254.353,111.481,0,146.9,74.931,20.512,NA,5.059,NA,94.97,-5.916
19,1,19,255.887,117.836,0,149.9,81.469,26.303,NA,6.537,NA,76.43,-18.54
20,1,20,254.353,121.78,0,138.3,85.701,30.471,NA,4.232,NA,111.251,34.821
21,1,21,252.6,125.944,0,131.9,90.218,34.919,NA,4.517,NA,112.834,1.583
22,1,22,249.094,129.888,0,131.6,95.495,39.648,NA,5.277,NA,131.634,18.8
23,1,23,245.588,128.793,0,127,99.169,39.798,NA,3.673,NA,-162.646,65.72
24,1,24,245.149,123.533,0,127.1,104.446,35.181,NA,5.277,NA,-94.764,67.882
25,1,25,244.711,118.493,0,123.8,109.505,30.966,NA,5.059,NA,-94.97,-0.206
26,1,26,242.739,113.892,0,140,114.511,28.338,NA,5.006,NA,-113.199,-18.229
27,1,27,239.452,112.139,0,134,118.237,29.295,NA,3.725,NA,-151.928,-38.729
28,1,28,237.042,114.549,0,131.7,121.645,32.703,NA,3.409,NA,135,-73.072
29,1,29,234.412,118.713,0,124.8,126.57,37.498,NA,4.924,NA,122.276,-12.724
30,1,30,232.221,120.027,0,114,129.125,39.978,NA,2.555,NA,149.036,26.761
31,1,31,229.372,124.41,0,116.7,134.352,45.096,NA,5.227,NA,123.024,-26.012
32,1,32,226.304,125.067,0,117.7,137.49,47.733,NA,3.137,NA,167.905,44.881
33,1,33,224.551,124.848,0,121.1,139.256,48.864,NA,1.767,NA,-172.875,19.22
34,1,34,221.045,123.533,0,100.5,143.001,50.683,NA,3.744,NA,-159.444,13.431
35,1,35,216.882,121.342,0,113.2,147.706,52.753,NA,4.705,NA,-152.241,7.202
36,1,36,216.005,119.37,0,110.8,149.864,52.427,NA,2.158,NA,-113.962,38.279
