Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
56,1,56,209.919,96.806,0,79.2,286.069,14.488,NA,3.365,NA,90,45
57,1,57,210.437,98.359,0,80.2,287.706,15.823,NA,1.637,NA,71.565,-18.435
58,1,58,209.919,101.724,0,90.8,291.111,19.21,NA,3.405,NA,98.746,27.181
59,1,59,210.437,102.242,0,101.6,291.843,19.597,NA,0.732,NA,45,-53.746
60,1,60,211.213,102.759,0,72.4,292.776,19.958,NA,0.933,NA,33.69,-11.31
61,1,61,212.249,101.465,0,86.2,294.433,18.525,NA,1.657,NA,-51.34,-85.03
62,1,62,210.955,99.653,0,72.7,296.66,16.957,NA,2.227,NA,-125.538,-74.197
63,1,63,208.625,96.547,0,75.7,300.543,14.718,NA,3.883,NA,-126.87,-1.332
64,1,64,207.331,92.924,0,80.2,304.39,12.218,NA,3.848,NA,-109.654,17.216
65,1,65,206.554,90.853,0,75.9,306.602,11.166,NA,2.212,NA,-110.556,-0.902
66,1,66,206.554,90.076,0,93.2,307.379,10.641,NA,0.777,NA,-90,20.556
67,1,67,207.849,89.041,0,90.9,309.036,8.985,NA,1.657,NA,-38.66,51.34
68,1,68,209.66,86.194,0,89.8,312.411,5.817,NA,3.375,NA,-57.529,-18.869
69,1,69,210.955,85.676,0,84.1,313.805,4.453,NA,1.394,NA,-21.801,35.727
70,1,70,210.696,90.076,0,84.1,318.213,7.995,NA,4.408,NA,93.366,115.168
71,1,71,209.402,91.629,0,58.6,320.234,9.988,NA,2.022,NA,129.806,36.439
72,1,72,208.625,95.253,0,58.1,323.94,13.544,NA,3.706,NA,102.095,-27.711
73,1,73,209.143,98.359,0,89.9,327.089,16.21,NA,3.149,NA,80.538,-21.557
74,1,74,207.59,95.771,0,71.1,330.108,14.481,NA,3.019,NA,-120.964,158.499
75,1,75,208.366,90.335,0,72.3,335.599,9.546,NA,5.491,NA,-81.87,39.094
76,1,76,208.884,86.97,0,114.4,339.003,6.892,NA,3.405,NA,-81.254,0.616
77,1,77,209.143,82.829,0,91.6,343.153,5.442,NA,4.15,NA,-86.424,-5.17
78,1,78,209.402,80.24,0,63.9,345.754,5.908,NA,2.601,NA,-84.289,2.134
79,1,79,209.402,79.982,0,68.4,346.013,6.037,NA,0.259,NA,-90,-5.711
80,1,80,209.402,83.088,0,87.1,349.119,5.177,NA,3.106,NA,90,180
81,1,81,209.402,87.488,0,85,353.519,6.794,NA,4.4,NA,90,0
82,1,82,208.625,91.888,0,63,357.987,10.625,NA,4.468,NA,100.008,10.008
83,1,83,206.296,97.583,0,63.1,364.14,16.695,NA,6.153,NA,112.249,12.241
84,1,84,204.484,101.465,0,78,368.424,20.968,NA,4.285,NA,115.017,2.768
85,1,85,202.413,104.83,0,80.5,372.375,24.915,NA,3.951,NA,121.608,6.591
86,1,86,199.307,105.348,0,77.3,375.524,26.995,NA,3.149,NA,170.538,48.93
87,1,87,195.424,105.348,0,72.3,379.407,29.367,NA,3.883,NA,180,9.462
88,1,88,191.283,104.571,0,83.1,383.621,31.69,NA,4.214,NA,-169.38,10.62
89,1,89,187.4,104.571,0,70.3,387.503,34.644,NA,3.883,NA,180,-10.62
90,1,90,178.858,105.348,0,81.9,396.08,42.088,NA,8.577,NA,174.806,-5.194
91,1,91,176.788,101.983,0,79.1,400.031,42.251,NA,3.951,NA,-121.608,63.587
92,1,92,173.423,103.018,0,79.5,403.552,45.728,NA,3.521,NA,162.897,-75.495
93,1,93,174.458,107.419,0,93.4,408.072,46.921,NA,4.52,NA,76.759,-86.138
94,1,94,176.529,109.23,0,93.4,410.824,46.165,NA,2.752,NA,41.186,-35.574
95,1,95,178.341,111.042,0,85.4,413.386,45.767,NA,2.562,NA,45,3.814
96,1,96,179.117,111.301,0,100.2,414.205,45.315,NA,0.819,NA,18.435,-26.565
97,1,97,178.341,114.407,0,94.5,417.406,47.897,NA,3.202,NA,104.036,85.601
98,1,98,177.823,111.301,0,79.4,420.555,46.335,NA,3.149,NA,-99.462,156.501
99,1,99,177.823,108.713,0,83.7,423.144,44.806,NA,2.588,NA,-90,9.462
100,1,100,177.305,105.089,0,92.3,426.804,43.282,NA,3.661,NA,-98.13,-8.13
101,1,101,177.305,103.795,0,84.3,428.098,42.639,NA,1.294,NA,-90,8.13
102,1,102,176.27,101.983,0,99.3,430.185,42.715,NA,2.087,NA,-119.745,-29.745
