Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
35,1,35,132.165,126.895,0,48.1,268.647,9.002,NA,8.6,NA,81.87,-131.82
36,1,36,141.49,141.49,0,48.1,285.966,24.873,NA,17.319,NA,57.426,-24.444
37,1,37,136.625,147.165,0,48,293.442,29.369,NA,7.475,NA,130.601,73.175
38,1,38,135.003,154.868,0,52.4,301.313,36.928,NA,7.872,NA,101.889,-28.713
39,1,39,134.192,144.733,0,44.6,311.481,26.77,NA,10.168,NA,-94.574,163.537
40,1,40,133.381,132.57,0,43.5,323.671,14.595,NA,12.189,NA,-93.814,0.76
41,1,41,131.354,127.3,0,50.1,329.317,9.542,NA,5.647,NA,-111.038,-17.223
42,1,42,130.949,119.597,0,62.9,337.031,2.923,NA,7.714,NA,-93.013,18.025
43,1,43,132.165,119.597,0,76.9,338.247,2.027,NA,1.216,NA,0,93.013
44,1,44,132.165,118.786,0,50.6,339.058,1.462,NA,0.811,NA,-90,-90
45,1,45,130.138,123.246,0,43.5,343.957,6.188,NA,4.899,NA,114.444,-155.556
46,1,46,133.381,125.273,0,51.5,347.781,7.297,NA,3.825,NA,32.005,-82.439
47,1,47,138.652,142.3,0,58.3,365.606,24.889,NA,17.824,NA,72.801,40.796
48,1,48,136.219,150.409,0,51.6,374.071,32.557,NA,8.465,NA,106.699,33.898
49,1,49,134.597,154.868,0,76.8,378.816,36.913,NA,4.745,NA,109.983,3.284
50,1,50,135.003,154.057,0,69.1,379.723,36.118,NA,0.907,NA,-63.435,-173.418
51,1,51,133.381,134.597,0,43.2,399.25,16.622,NA,19.527,NA,-94.764,-31.329
52,1,52,133.787,132.165,0,59.7,401.716,14.195,NA,2.466,NA,-80.538,14.226
53,1,53,135.814,125.678,0,47.8,408.512,8.078,NA,6.796,NA,-72.646,7.892
54,1,54,133.381,122.84,0,63.3,412.25,4.865,NA,3.738,NA,-130.601,-57.955
55,1,55,130.138,122.435,0,44.4,415.518,5.514,NA,3.269,NA,-172.875,-42.274
56,1,56,128.111,124.868,0,43.5,418.685,8.676,NA,3.166,NA,129.806,-57.319
57,1,57,122.435,122.435,0,38.6,424.86,11.82,NA,6.175,NA,-156.801,73.393
58,1,58,122.03,124.868,0,43.6,427.326,13.28,NA,2.466,NA,99.462,-103.736
59,1,59,124.057,127.3,0,42.1,430.492,13.187,NA,3.166,NA,50.194,-49.268
