Nr,TID,PID,x [mm],y [mm],t [sec],I [val],Len [mm],D2S [mm],D2R [mm],D2P [mm],v [mm/sec],α [deg],Δα [deg]
1,1,1,133.381,117.976,0,48.3,0,0,NA,NA,NA,NA,NA
2,1,2,134.597,124.057,0,60.5,6.202,6.202,NA,6.202,NA,78.69,NA
3,1,3,137.435,137.841,0,51.1,20.275,20.275,NA,14.073,NA,78.366,-0.324
4,1,4,135.003,142.706,0,54.7,25.714,24.783,NA,5.439,NA,116.565,38.199
5,1,5,135.408,155.274,0,58.5,38.288,37.353,NA,12.574,NA,88.152,-28.413
6,1,6,137.435,157.706,0,67.2,41.455,39.937,NA,3.166,NA,50.194,-37.958
7,1,7,135.003,148.787,0,46.9,50.7,30.854,NA,9.245,NA,-105.255,-155.45
8,1,8,135.003,135.814,0,50.5,63.673,17.912,NA,12.973,NA,-90,15.255
9,1,9,134.597,130.543,0,46.5,68.959,12.627,NA,5.286,NA,-94.399,-4.399
10,1,10,134.192,123.246,0,52.5,76.268,5.332,NA,7.309,NA,-93.18,1.219
11,1,11,130.138,118.786,0,51.4,82.294,3.343,NA,6.027,NA,-132.274,-39.094
12,1,12,124.462,115.948,0,45.3,88.64,9.147,NA,6.346,NA,-153.435,-21.161
13,1,13,127.3,126.084,0,51.6,99.165,10.135,NA,10.525,NA,74.358,-132.207
14,1,14,130.949,139.057,0,44.4,112.642,21.221,NA,13.477,NA,74.291,-0.066
15,1,15,135.003,151.625,0,66.5,125.848,33.688,NA,13.206,NA,72.121,-2.17
16,1,16,129.733,158.517,0,92.2,134.524,40.705,NA,8.676,NA,127.405,55.284
17,1,17,125.273,142.706,0,48.1,150.952,26.026,NA,16.428,NA,-105.751,126.843
18,1,18,125.273,123.246,0,44.6,170.412,9.671,NA,19.46,NA,-90,15.751
19,1,19,127.705,127.705,0,44.1,175.491,11.264,NA,5.08,NA,61.39,151.39
20,1,20,132.976,123.651,0,58.3,182.141,5.69,NA,6.649,NA,-37.569,-98.958
21,1,21,130.138,118.381,0,68.9,188.127,3.269,NA,5.986,NA,-118.301,-80.732
22,1,22,124.868,116.759,0,52.6,193.641,8.6,NA,5.514,NA,-162.897,-44.597
23,1,23,122.84,120.813,0,56.1,198.174,10.916,NA,4.533,NA,116.565,-80.538
24,1,24,127.3,126.084,0,58.3,205.077,10.135,NA,6.904,NA,49.764,-66.801
25,1,25,129.327,132.57,0,55.9,211.873,15.148,NA,6.796,NA,72.646,22.882
26,1,26,136.219,142.3,0,49.3,223.797,24.49,NA,11.924,NA,54.689,-17.957
27,1,27,135.003,147.571,0,39.4,229.206,29.64,NA,5.409,NA,102.995,48.306
28,1,28,135.003,143.922,0,48.1,232.855,25.997,NA,3.649,NA,-90,167.005
29,1,29,135.003,139.057,0,53.6,237.72,21.144,NA,4.865,NA,-90,0
30,1,30,135.408,133.381,0,46.5,243.41,15.539,NA,5.69,NA,-85.914,4.086
31,1,31,135.003,129.733,0,48.1,247.081,11.868,NA,3.671,NA,-96.34,-10.426
32,1,32,135.003,124.057,0,65.3,252.757,6.294,NA,5.676,NA,-90,6.34
33,1,33,133.381,120.003,0,65.3,257.123,2.027,NA,4.366,NA,-111.801,-21.801
34,1,34,130.949,118.381,0,55.3,260.047,2.466,NA,2.923,NA,-146.31,-34.509
